Kilpailujärjestys,Nimi,Yhdistys,Sarja,Metriä,Kannettava massa,Pisteet
1,Heidi Reijo,Lahden Reserviläiset,-75kg,60,50kg,2
2,Ella Kangas,Kauhavan Reserviläiset,-75kg,27,50kg,3
3,Anne Haapamäki,Kuortaneen Reserviläiset,-75kg,69,50kg,1
1,Jarkko Eeli,Ylihärmän Reserviläiset,-80kg,80,100kg,3
2,Frank Hagström,Kokkolan Reserviläiset,-80kg,87,100kg,2
3,Eric Andersson,Orimattilan Reserviläiset,-80kg,125,100kg,1
1,Miika Kajavalta,Jyväskylänseudun Reserviläiset,-100kg,73,100kg,5
2,Lasse Lehtonen,Vaasan Opiskelevat Reserviupseerit,-100kg,65,100kg,6
3,Miika Hahto,Vaasan Opiskelevat Reserviupseerit,-100kg,134,100kg,1
4,Paul Sneck,Rauman Reserviläiset,-100kg,93,100kg,4
5,Janne Vitikka,Rovaniemen Reserviläiset,-100kg,96,100kg,3
6,Ville Saranpää,Ilmajoen Reserviläiset,-100kg,62,100kg,7
7,Petteri Mäntymaa,Akateeminen Maanpuolustusyhdistys,-100kg,105,100kg,2
1,Jyri Hietanen,Lopen Reserviläiset,+100kg,138,100kg,1
2,Aaro Mäki-Jouppila,Ilmajoen Reserviupseerikerho,+100kg,45,100kg,6
3,Henrik Sadinmäki,Rovaniemen Reserviläiset,+100kg,83,100kg,4
4,Henri Taussi,Kirkkonummen Reserviupseerikerho,+100kg,126,100kg,2
5,Mikko Laaksonen,Uudenmaan Reserviläiset,+100kg,109,100kg,3
6,Antti Roininen,Orimattilan Reserviläiset,+100kg,80,100kg,5
7,Janne-Jukka Kojo,Helsingin Reserviläiset,+100kg,24,100kg,7
