Kilpailujärjestys,Nimi,Yhdistys,Sarja,Aika,Full Pull,Ajoneuvon massa,Pisteet
1,Heidi Reijo,Lahden Reserviläiset,-75kg,,14.4,1800kg,3
2,Jutta Latvala,Seinäjoen Reserviläiset,-75kg,,16.7,1800kg,2
3,Anne Haapamäki,Kuortaneen Reserviläiset,-75kg,03:10.54,X,1800kg,1
1,Tytti Becker,Alavuden Reserviläiset,+75kg,,12.0,1800kg,2
2,Anni Jaatinen,Revonlahden Reserviläiset,+75kg,07:08.12,X,1800kg,1
1,Frank Hagström,Kokkolan Reserviläiset,-80kg,00:48.69,X,5500kg,1
2,Jarkko Eeli,Ylihärmän Reserviläiset,-80kg,01:13.43,X,5500kg,2
1,Miika Hahto,Vaasan Opiskelevat Reserviupseerit,-100kg,00:53.16,X,5500kg,3
2,Petteri Mäntymaa,Akateeminen Maanpuolustusyhdistys,-100kg,00:38.53,X,5500kg,1
3,Lasse Lehtonen,Vaasan Opiskelevat Reserviupseerit,-100kg,01:07.19,X,5500kg,5
4,Jari Viertola,Isonkyrön Reserviläiset,-100kg,01:00.09,X,5500kg,4
5,Jan-Anders Rönnskär,Pietarsaaren Seudun Reserviläiset,-100kg,00:44.16,X,5500kg,2
6,Ville Saranpää,Ilmajoen Reserviläiset,-100kg,,16.5,5500kg,6
1,Mikko Reijonen,Rovaniemen Reserviläiset,+100kg,00:44.56,X,5500kg,5
2,Aaro Mäki-Jouppila,Ilmajoen Reserviupseerikerho,+100kg,00:45.32,X,5500kg,6
3,Henri Taussi,Kirkkonummen Reserviupseerikerho,+100kg,00:35.50,X,5500kg,1
4,Jyri Hietanen,Lopen Reserviläiset,+100kg,00:41.34,X,5500kg,3
5,Antti Roininen,Orimattilan Reserviläiset,+100kg,01:05.60,X,5500kg,7
6,Mikko Laaksonen,Uudenmaan Reserviläiset,+100kg,00:43.09,X,5500kg,4
7,Juho Korkeamaa,Raahen Reserviläiset,+100kg,00:38.31,X,5500kg,2
